Ecozones,BpS,Acres
Pine-Oak Shale Woodland,Northeastern Interior Dry-Mesic Oak Forest,88540
Pine-Oak Shale Woodland,Central Appalachian Dry Oak-Pine Forest,24507
Floodplain Forest,Central Interior and Appalachian Riparian Systems,34543
Floodplain Forest,Northeastern Interior Dry-Mesic Oak Forest,31113
Floodplain Forest,Central Interior and Appalachian Floodplain Systems,18082
Floodplain Forest,Open Water,6934
Floodplain Forest,Southern and Central Appalachian Cove Forest,5112
Northern Hardwood Slope,Central and Southern Appalachian Montane Oak Forest,28949
Northern Hardwood Slope,Appalachian (Hemlock-)Northern Hardwood Forest,21543
Northern Hardwood Slope,Central and Southern Appalachian Spruce-Fir Forest,19246
Northern Hardwood Slope,Northeastern Interior Dry-Mesic Oak Forest,11142
Northern Hardwood Slope,Southern and Central Appalachian Cove Forest,4597
Northern Hardwood Slope,Central Appalachian Dry Oak-Pine Forest,4492
Alkaline Dry Oak and Wetland,Northeastern Interior Dry-Mesic Oak Forest,66041
Alkaline Dry Oak and Wetland,Central Appalachian Dry Oak-Pine Forest,12594
Colluvial Forest,Northeastern Interior Dry-Mesic Oak Forest,42462
Colluvial Forest,Central Interior and Appalachian Floodplain Systems,9890
Colluvial Forest,Central Interior and Appalachian Riparian Systems,8463
Colluvial Forest,Central Appalachian Dry Oak-Pine Forest,5445
Colluvial Forest,Southern and Central Appalachian Cove Forest,3846
Montane Oak Cover,Northeastern Interior Dry-Mesic Oak Forest,27816
Montane Oak Cover,Central Appalachian Dry Oak-Pine Forest,14216
Montane Oak Cover,Central Interior and Appalachian Riparian Systems,12686
Montane Oak Cover,Southern and Central Appalachian Cove Forest,8087
Montane Oak Cover,Central and Southern Appalachian Montane Oak Forest,3489
Pine-Oak Heath (eastside ridges),Northeastern Interior Dry-Mesic Oak Forest,28939
Pine-Oak Heath (eastside ridges),Central Appalachian Dry Oak-Pine Forest,19606
Pine-Oak Heath (eastside ridges),Central and Southern Appalachian Montane Oak Forest,4385
Pine-Oak Heath (eastside ridges),Central Appalachian Pine-Oak Rocky Woodland,3153
Northern Hardwood Cove,Central and Southern Appalachian Spruce-Fir Forest,12077
Northern Hardwood Cove,Appalachian (Hemlock-)Northern Hardwood Forest,7546
Northern Hardwood Cove,Southern and Central Appalachian Cove Forest,5708
Northern Hardwood Cove,Central Interior and Appalachian Riparian Systems,3536
Northern Hardwood Cove,Central and Southern Appalachian Montane Oak Forest,3481
Northern Hardwood Cove,Northeastern Interior Dry-Mesic Oak Forest,2775
High Elevation Red Oak,Central and Southern Appalachian Montane Oak Forest,11649
High Elevation Red Oak,Appalachian (Hemlock-)Northern Hardwood Forest,4750
High Elevation Red Oak,Northeastern Interior Dry-Mesic Oak Forest,1371
High Elevation Red Oak,Central and Southern Appalachian Spruce-Fir Forest,1237
Montane Oak (rich),Central and Southern Appalachian Montane Oak Forest,10724
